iter	Logloss
0	0.67261931
1	0.6502083136
2	0.630778058
3	0.6108958418
4	0.5929513408
5	0.5749056267
6	0.5565182573
7	0.5410969439
8	0.5263531214
9	0.5110745615
10	0.4967679855
11	0.4834911432
12	0.4711581505
13	0.4608405693
14	0.4494240238
15	0.4391186679
16	0.4294244859
17	0.420341178
18	0.410115843
19	0.4013090503
20	0.3928911165
21	0.383399044
22	0.3753255682
23	0.3676088786
24	0.3612670184
25	0.3543151491
26	0.3473372794
27	0.3413569451
28	0.3349237235
29	0.3293686391
30	0.3233290095
31	0.3174170825
32	0.3125042362
33	0.3076939564
34	0.3035824012
35	0.2989778047
36	0.2946826875
37	0.2906073338
38	0.286768486
39	0.2826440274
40	0.2793643914
41	0.2760064723
42	0.2723954595
43	0.2686156024
44	0.2654550734
45	0.2622960897
46	0.2585403279
47	0.2555637446
48	0.252390259
49	0.2495274188
50	0.2470354846
51	0.2443364486
52	0.241805172
53	0.239387338
54	0.2372324492
55	0.2351197164
56	0.2331594634
57	0.2311940693
58	0.2292399994
59	0.2271792976
60	0.2253087749
61	0.2232415241
62	0.2213109891
63	0.2189074112
64	0.2167295014
65	0.2150771666
66	0.2133844026
67	0.2115943219
68	0.2099559704
69	0.2079371334
70	0.2064034564
71	0.2049845232
72	0.2038567123
73	0.202333542
74	0.2009552936
75	0.1998162667
76	0.1988591081
77	0.1975204735
78	0.1963485302
79	0.1952540484
80	0.1939318369
81	0.1927491559
82	0.1915197246
83	0.1903482403
84	0.1894228213
85	0.1884649576
86	0.1875564012
87	0.1864770519
88	0.1854264741
89	0.1843140096
90	0.1832598329
91	0.1824000053
92	0.1813197837
93	0.1802243291
94	0.1791588642
95	0.1782403057
96	0.1773764755
97	0.1764575377
98	0.1756855099
99	0.1748185247
100	0.1740640163
101	0.173281537
102	0.1725109218
103	0.171737418
104	0.1709348993
105	0.1700711147
106	0.1692887845
107	0.1686549236
108	0.1679659309
109	0.1672721819
110	0.1667022869
111	0.1662573047
112	0.1656189024
113	0.1649196195
114	0.1642419645
115	0.1636353833
116	0.1630079711
117	0.1623821527
118	0.1616861698
119	0.1609757135
120	0.1604069584
121	0.159900095
122	0.1594093448
123	0.1588902826
124	0.1583998857
125	0.157957724
126	0.157274588
127	0.1567884703
128	0.1563676392
129	0.1559744565
130	0.155347605
131	0.1547915377
132	0.1542916206
133	0.1538459687
134	0.1533343216
135	0.1526937286
136	0.1520254151
137	0.1514667348
138	0.1511648441
139	0.150712033
140	0.1500616949
141	0.1495719425
142	0.149011243
143	0.1484152082
144	0.1479423441
145	0.1474679914
146	0.1469982622
147	0.1465547077
148	0.1461320039
149	0.1457817246
150	0.1453514172
151	0.1449785736
152	0.1445814553
153	0.1441331806
154	0.1437493126
155	0.1434239614
156	0.1430094127
157	0.1426409575
158	0.1421523519
159	0.1418569411
160	0.1414541762
161	0.1410076259
162	0.1407274864
163	0.1403118134
164	0.1399763975
165	0.1396925809
166	0.1390980133
167	0.1387333804
168	0.1383390576
169	0.1378433414
170	0.1375497817
171	0.1371976915
172	0.1368565419
173	0.136504486
174	0.1359931639
175	0.1356772516
176	0.1353867091
177	0.1349998301
178	0.1345790076
179	0.1341778287
180	0.1338971204
181	0.1335598168
182	0.1332127336
183	0.1328531452
184	0.1326073252
185	0.132261857
186	0.1319168454
187	0.1314527011
188	0.1311867157
189	0.1309102516
190	0.1306075314
191	0.1303534481
192	0.1301203503
193	0.1298205319
194	0.1294667345
195	0.1291624333
196	0.128974682
197	0.1285028564
198	0.1281371724
199	0.1278947434
200	0.1275901492
201	0.1272002385
202	0.1269114448
203	0.1266354468
204	0.1264049819
205	0.1261763205
206	0.1258372481
207	0.1256572926
208	0.1253590052
209	0.1250876383
210	0.1248245594
211	0.1244842032
212	0.1241830168
213	0.1239188245
214	0.1237196596
215	0.1232643374
216	0.1230397317
217	0.1228333002
218	0.122380599
219	0.122138504
220	0.1219144452
221	0.1217527003
222	0.1215888082
223	0.1214262736
224	0.1211196773
225	0.120951414
226	0.1207002837
227	0.1204926367
228	0.1201847308
229	0.1199535663
230	0.1196816615
231	0.1193349724
232	0.1190492271
233	0.1187574685
234	0.1184344781
235	0.1181280679
236	0.1177438096
237	0.1175894915
238	0.117403147
239	0.1171501554
240	0.1169047701
241	0.1165327231
242	0.1161662497
243	0.1159477856
244	0.1157635891
245	0.1155394323
246	0.1153013845
247	0.1150113669
248	0.1148402961
249	0.1146775098
250	0.1144530159
251	0.1142518824
252	0.1139751676
253	0.1137340408
254	0.1134557975
255	0.113214446
256	0.1129118277
257	0.1126763186
258	0.1124695008
259	0.112297929
260	0.1119105245
261	0.1117854007
262	0.1115213304
263	0.1112252083
264	0.1110506716
265	0.1108947754
266	0.110694378
267	0.1104624347
268	0.1102785644
269	0.1101119943
270	0.109914474
271	0.1097230752
272	0.1094813102
273	0.109278942
274	0.1089917206
275	0.1087075054
276	0.1084979305
277	0.1083213228
278	0.1080913574
279	0.1078725938
280	0.1077445633
281	0.1074143936
282	0.1071927106
283	0.1070217271
284	0.1068235613
285	0.1066356277
286	0.1064899233
287	0.1061881003
288	0.1060453407
289	0.1058513921
290	0.1056063819
291	0.1054618175
292	0.1051618421
293	0.1050134324
294	0.104810509
295	0.1046555432
296	0.1043577051
297	0.1040913177
298	0.1038821188
299	0.1037293483
300	0.1035423875
301	0.1033801389
302	0.1031336895
303	0.1029607541
304	0.1028293755
305	0.1026067497
306	0.1023673171
307	0.1021945541
308	0.1019889034
309	0.1018094284
310	0.1015905662
311	0.1013815087
312	0.1011209081
313	0.1009099812
314	0.100645836
315	0.1004505001
316	0.1000714833
317	0.099805512
318	0.09965107335
319	0.09953559075
320	0.09930349822
321	0.09901470476
322	0.09884310599
323	0.09868913437
324	0.09844880375
325	0.09827856074
326	0.09798834504
327	0.09777197462
328	0.09765461042
329	0.09747572775
330	0.0972837551
331	0.09711507931
332	0.09695997974
333	0.09675529191
334	0.09662262599
335	0.09646344656
336	0.0962638982
337	0.09602959614
338	0.09582415084
339	0.09565955594
340	0.09558561662
341	0.09546072847
342	0.09532990769
343	0.09516581367
344	0.09490740092
345	0.09470922944
346	0.09454099336
347	0.09439440079
348	0.09420634851
349	0.09399194102
350	0.09382312476
351	0.0937529874
352	0.09358451573
353	0.09338012772
354	0.09329208367
355	0.09311453092
356	0.09297664956
357	0.09281743656
358	0.09267337241
359	0.09255081911
360	0.09242707703
361	0.09231660527
362	0.09220085994
363	0.09204515093
364	0.0918737818
365	0.09166809969
366	0.09148459284
367	0.09137624175
368	0.0912456278
369	0.09110334995
370	0.09092560905
371	0.09080773448
372	0.09053483401
373	0.09034586234
374	0.09019824107
375	0.09001125231
376	0.08987928997
377	0.08971521367
378	0.08954835741
379	0.08938584093
380	0.08926671091
381	0.08907061243
382	0.0889297263
383	0.08877077181
384	0.08865705186
385	0.08852602304
386	0.08841021601
387	0.08830422234
388	0.08820031161
389	0.08806175387
390	0.08793171551
391	0.08782655189
392	0.08772295849
393	0.08759515555
394	0.0874712494
395	0.08732863549
396	0.08725147412
397	0.08711261917
398	0.08696277284
399	0.08686410961
400	0.08673785347
401	0.08649591137
402	0.08639674655
403	0.08622919685
404	0.08609711649
405	0.08589575005
406	0.08574283396
407	0.08557409371
408	0.08542500201
409	0.08523490248
410	0.08510233396
411	0.08503717347
412	0.08490159116
413	0.0847618751
414	0.08459242411
415	0.08440256087
416	0.08427969738
417	0.08416293905
418	0.08398856955
419	0.0838275645
420	0.08364172245
421	0.08357401004
422	0.08343763257
423	0.08333001474
424	0.08320605078
425	0.08306518833
426	0.08287425971
427	0.08274551321
428	0.08255861226
429	0.08238858679
430	0.08222126903
431	0.08208627854
432	0.08198695754
433	0.0818167306
434	0.08168671434
435	0.08158514337
436	0.08141587353
437	0.08126753369
438	0.08107169606
439	0.08074410838
440	0.08059514111
441	0.08042812909
442	0.0803114691
443	0.08016515377
444	0.08009831184
445	0.0799974906
446	0.07982838668
447	0.07971762362
448	0.07958045295
449	0.07953331537
450	0.07937326869
451	0.07921827834
452	0.07912391908
453	0.07896143258
454	0.0788843533
455	0.07870696385
456	0.07859402445
457	0.07842464757
458	0.07824291353
459	0.07818033618
460	0.07811106026
461	0.0779712112
462	0.07783108144
463	0.0777723406
464	0.0776837663
465	0.07755474305
466	0.07740411902
467	0.07721268972
468	0.07707946162
469	0.07696442287
470	0.07682683405
471	0.07671107926
472	0.07660349459
473	0.07639784576
474	0.07622783638
475	0.07617198942
476	0.07601537088
477	0.07587191002
478	0.07564768807
479	0.07549507502
480	0.07535705954
481	0.07514589889
482	0.07493930682
483	0.07479679568
484	0.07471266344
485	0.07468319105
486	0.07446972228
487	0.07432943163
488	0.07421330854
489	0.07409822936
490	0.07397416565
491	0.07379970023
492	0.07373209366
493	0.07366125148
494	0.07349972973
495	0.07340348912
496	0.07329067328
497	0.0732143747
498	0.07307783384
499	0.07302704681
500	0.07286021077
501	0.0727257214
502	0.07258231197
503	0.0723948182
504	0.07231674018
505	0.07221032071
506	0.0721235705
507	0.07198730601
508	0.07188485872
509	0.07184765989
510	0.07179107212
511	0.07163920869
512	0.07156171824
513	0.07136959839
514	0.07126374026
515	0.07119289175
516	0.07112928327
517	0.07099697452
518	0.07085429249
519	0.07077643237
520	0.07075135085
521	0.07065185267
522	0.07052226357
523	0.07040261772
524	0.07025917846
525	0.07017748783
526	0.07005526968
527	0.0699795188
528	0.06977039675
529	0.06966170652
530	0.06947889935
531	0.06925430891
532	0.06917811518
533	0.06911230727
534	0.06896781043
535	0.06880192761
536	0.06861812374
537	0.0685656299
538	0.06843310513
539	0.0683472981
540	0.06824095337
541	0.06814079019
542	0.06806988853
543	0.06795238836
544	0.0677672657
545	0.06761005256
546	0.06753528496
547	0.06741721049
548	0.06733832787
549	0.06725120195
550	0.06714003613
551	0.06706212327
552	0.06694292197
553	0.06680962494
554	0.06670398839
555	0.06656539634
