iter	Passed	Remaining
0	14	14491
1	27	13478
2	38	12903
3	50	12536
4	62	12350
5	74	12293
6	82	11661
7	89	11140
8	96	10658
9	103	10258
10	110	9971
11	118	9754
12	124	9478
13	131	9235
14	137	9009
15	143	8823
16	149	8654
17	156	8513
18	162	8381
19	168	8263
20	174	8150
21	181	8051
22	187	7970
23	193	7884
24	200	7808
25	206	7734
26	212	7664
27	218	7593
28	225	7535
29	231	7482
30	237	7431
31	244	7383
32	250	7336
33	256	7289
34	262	7250
35	269	7208
36	275	7170
37	283	7171
38	290	7160
39	297	7139
40	304	7128
41	311	7111
42	318	7098
43	326	7095
44	334	7091
45	341	7091
46	348	7073
47	356	7061
48	363	7055
49	370	7048
50	378	7037
51	385	7033
52	393	7024
53	400	7020
54	408	7014
55	415	7009
56	422	6996
57	430	6986
58	437	6982
59	445	6982
60	452	6958
61	459	6944
62	465	6930
63	472	6908
64	478	6887
65	485	6863
66	491	6843
67	497	6822
68	504	6800
69	510	6783
70	516	6761
71	523	6742
72	529	6722
73	535	6702
74	542	6684
75	548	6664
76	554	6646
77	560	6627
78	566	6609
79	573	6593
80	579	6576
81	585	6558
82	592	6545
83	603	6579
84	614	6619
85	625	6646
86	635	6673
87	646	6703
88	658	6743
89	670	6778
90	681	6811
91	694	6858
92	707	6897
93	718	6926
94	729	6947
95	737	6943
96	744	6935
97	752	6924
98	759	6912
99	766	6900
100	774	6889
101	781	6881
102	788	6868
103	795	6852
104	803	6847
105	810	6835
106	817	6820
107	823	6801
108	829	6782
109	836	6764
110	842	6746
111	848	6729
112	855	6711
113	861	6693
114	867	6675
115	873	6658
116	879	6640
117	886	6624
118	892	6607
119	898	6590
120	906	6584
121	912	6569
122	919	6552
123	925	6537
124	931	6521
125	938	6507
126	944	6491
127	950	6476
128	956	6460
129	963	6445
130	969	6430
131	975	6415
132	981	6400
133	988	6389
134	995	6375
135	1001	6361
136	1007	6347
137	1014	6334
138	1020	6320
139	1026	6306
140	1032	6293
141	1039	6279
142	1045	6267
143	1051	6253
144	1058	6239
145	1064	6227
146	1070	6213
147	1077	6203
148	1084	6196
149	1091	6183
150	1098	6176
151	1104	6163
